"Skill_id","Level_id","Question_number","Question","Option_A","Option_B","Option_C","Option_D","Correct_answer","QuestionID"
"sk01","l2","17","Standardization ensures:","Random storage","Efficiency and consistency","Overcrowding","Confusion","B","sk01_l2_17"
"sk01","l2","18","What is a key practice in the 'practices?' stage of 5S?","Visual aids","Chat groups","Rumors","Sticky notes","A","sk01_l2_18"
"sk01","l2","19","Standardize includes:","Creating clutter","Hiding issues","Selling tools","Training employees","D","sk01_l2_19"
"sk01","l2","20","In 5S methodology, what action is aligned with the principle of 'changes?'?","Ignore it","Update procedures","Fire staff","Change departments","B","sk01_l2_20"
"sk01","l2","21","What is a key practice in the 'ensures:' stage of 5S?","Changing team leaders","Long-term discipline","One-time 5S activity","Weekly cleaning","B","sk01_l2_21"
"sk01","l2","22","How can companies sustain 5S?","Avoid cleaning","Fire staff","Reward good practices","Ignore rules","C","sk01_l2_22"
"sk01","l2","23","Which of these helps in sustaining 5S?","Refresher training","More paper","New uniforms","Less meetings","A","sk01_l2_23"
"sk01","l2","24","What is a key practice in the 'building:' stage of 5S?","Visuals","Clutter","Discipline and habits","Waste","C","sk01_l2_24"
"sk01","l2","25","What is NOT a Sustain activity?","Ignoring non-compliance","Taking ownership","Continuous improvement","Regular training","A","sk01_l2_25"
"sk01","l2","26","What is the goal of the 'Sort' phase in 5S?","Identify and remove unnecessary items","Polish all equipment","Arrange tools by color","Write daily reports","A","sk01_l2_26"
"sk01","l2","27","What is a key practice in the 'process?' stage of 5S?","Red tag","Yellow tag","Green tag","Blue tag","A","sk01_l2_27"
"sk01","l2","28","In 5S methodology, what action is aligned with the principle of 'Sort?'?","Dispose or repair","Label and store","Keep them just in case","Paint them","A","sk01_l2_28"
"sk01","l2","29","Which of the following is NOT encouraged in Sort?","Removing outdated tools","Reviewing workspace regularly","Tagging unused items","Storing unnecessary items","D","sk01_l2_29"
"sk01","l2","30","What is a key practice in the 'workplace?' stage of 5S?","By training workers","By creating a clutter-free space","By painting walls","By increasing items","B","sk01_l2_30"
"sk01","l2","31","What is the main aim of 'Set in Order'?","Print documents","Remove trash","Clean floors","Organize tools","D","sk01_l2_31"
"sk01","l2","32","In 5S methodology, what action is aligned with the principle of 'be:'?","Kept in drawers","Stored far away","Within easy reach","Labeled","C","sk01_l2_32"
"sk01","l2","33","What is a key practice in the 'method?' stage of 5S?","Storing all items in one box","Putting items under the table","Hiding tools","Color coding","D","sk01_l2_33"
"sk01","l2","34","Heavy items should be placed:","Randomly","On top shelves","At lower levels","Near the door","C","sk01_l2_34"
"sk01","l2","35","What is NOT part of Set in Order?","Random storage","Visual markers","Logical arrangement","Tool labeling","A","sk01_l2_35"
"sk01","l2","36","What is a key practice in the 'on?' stage of 5S?","Regular cleaning","Buying new tools","Replacing furniture","Color coding","A","sk01_l2_36"
"sk01","l2","37","Cleaning tools helps in identifying:","Useful items","New items","Paint issues","Leaks or damage","D","sk01_l2_37"
"sk01","l2","38","Which of the following is a Shine activity?","Production scheduling","Product packaging","Tool labeling","Daily cleaning","D","sk01_l2_38"
"sk01","l2","39","What is a key practice in the 'important?' stage of 5S?","Maintains safety and efficiency","Saves electricity","Improves tool color","Reduces cleaning staff","A","sk01_l2_39"
"sk01","l2","40","In 5S methodology, what action is aligned with the principle of 'performed?'?","Never","Every 6 months","Occasionally","After each use","D","sk01_l2_40"
"sk01","l2","41","What is the purpose of 'Standardize'?","Write SOPs","Paint tools","Create uniform practices","Buy new equipment","C","sk01_l2_41"
"sk01","l2","42","What is a key practice in the 'ensures:' stage of 5S?","Confusion","Random storage","Overcrowding","Efficiency and consistency","D","sk01_l2_42"
"sk01","l2","43","What helps reinforce standard practices?","Visual aids","Chat groups","Rumors","Sticky notes","A","sk01_l2_43"
"sk01","l2","44","In 5S methodology, what action is aligned with the principle of 'includes:'?","Hiding issues","Training employees","Selling tools","Creating clutter","B","sk01_l2_44"
"sk01","l2","45","What is a key practice in the 'changes?' stage of 5S?","Fire staff","Update procedures","Ignore it","Change departments","B","sk01_l2_45"
"sk01","l2","46","Sustain' ensures:","Changing team leaders","One-time 5S activity","Long-term discipline","Weekly cleaning","C","sk01_l2_46"
"sk01","l2","47","How can companies sustain 5S?","Fire staff","Avoid cleaning","Reward good practices","Ignore rules","C","sk01_l2_47"
"sk01","l2","48","What is a key practice in the '5S?' stage of 5S?","New uniforms","Refresher training","Less meetings","More paper","B","sk01_l2_48"
"sk01","l2","49","Sustain focuses on building:","Waste","Visuals","Clutter","Discipline and habits","D","sk01_l2_49"
"sk01","l2","50","What is NOT a Sustain activity?","Continuous improvement","Taking ownership","Regular training","Ignoring non-compliance","D","sk01_l2_50"
"sk01","l2","51","What is a key practice in the '5S?' stage of 5S?","Polish all equipment","Write daily reports","Identify and remove unnecessary items","Arrange tools by color","C","sk01_l2_51"
"sk01","l2","52","In 5S methodology, what action is aligned with the principle of 'process?'?","Yellow tag","Blue tag","Red tag","Green tag","C","sk01_l2_52"
"sk01","l2","53","What should be done with broken tools during Sort?","Label and store","Dispose or repair","Paint them","Keep them just in case","B","sk01_l2_53"
"sk01","l2","54","What is a key practice in the 'Sort?' stage of 5S?","Storing unnecessary items","Tagging unused items","Reviewing workspace regularly","Removing outdated tools","A","sk01_l2_54"
"sk01","l2","55","How does Sort improve the workplace?","By creating a clutter-free space","By increasing items","By training workers","By painting walls","A","sk01_l2_55"
"sk01","l2","56","In 5S methodology, what action is aligned with the principle of 'Order'?'?","Remove trash","Organize tools","Clean floors","Print documents","B","sk01_l2_56"
"sk01","l2","57","What is a key practice in the 'be:' stage of 5S?","Kept in drawers","Labeled","Stored far away","Within easy reach","D","sk01_l2_57"
"sk01","l2","58","Which of these is a good organizing method?","Hiding tools","Storing all items in one box","Putting items under the table","Color coding","D","sk01_l2_58"
"sk01","l2","59","Heavy items should be placed:","On top shelves","Randomly","Near the door","At lower levels","D","sk01_l2_59"
"sk01","l2","60","What is a key practice in the 'Order?' stage of 5S?","Tool labeling","Visual markers","Random storage","Logical arrangement","C","sk01_l2_60"
"sk01","l2","61","What does 'Shine' in 5S focus on?","Replacing furniture","Regular cleaning","Buying new tools","Color coding","B","sk01_l2_61"
"sk01","l2","62","Cleaning tools helps in identifying:","New items","Leaks or damage","Paint issues","Useful items","B","sk01_l2_62"
"sk01","l2","63","What is a key practice in the 'activity?' stage of 5S?","Tool labeling","Product packaging","Daily cleaning","Production scheduling","C","sk01_l2_63"
"sk01","l2","64","In 5S methodology, what action is aligned with the principle of 'important?'?","Improves tool color","Saves electricity","Maintains safety and efficiency","Reduces cleaning staff","C","sk01_l2_64"
"sk01","l2","65","When should cleaning be performed?","Never","Every 6 months","Occasionally","After each use","D","sk01_l2_65"
"sk01","l2","66","What is a key practice in the ''Standardize'?' stage of 5S?","Create uniform practices","Paint tools","Buy new equipment","Write SOPs","A","sk01_l2_66"
"sk01","l2","67","Standardization ensures:","Confusion","Overcrowding","Random storage","Efficiency and consistency","D","sk01_l2_67"
"sk01","l2","68","In 5S methodology, what action is aligned with the principle of 'practices?'?","Rumors","Visual aids","Sticky notes","Chat groups","B","sk01_l2_68"
"sk01","l2","69","What is a key practice in the 'includes:' stage of 5S?","Selling tools","Hiding issues","Creating clutter","Training employees","D","sk01_l2_69"
"sk01","l2","70","What should be done if workflow changes?","Ignore it","Change departments","Update procedures","Fire staff","C","sk01_l2_70"
"sk01","l2","71","Sustain' ensures:","Weekly cleaning","Changing team leaders","One-time 5S activity","Long-term discipline","D","sk01_l2_71"
"sk01","l2","72","What is a key practice in the '5S?' stage of 5S?","Avoid cleaning","Reward good practices","Ignore rules","Fire staff","B","sk01_l2_72"
"sk01","l2","73","Which of these helps in sustaining 5S?","New uniforms","More paper","Less meetings","Refresher training","D","sk01_l2_73"
"sk01","l2","74","Sustain focuses on building:","Discipline and habits","Clutter","Waste","Visuals","A","sk01_l2_74"
"sk01","l2","75","What is a key practice in the 'activity?' stage of 5S?","Regular training","Taking ownership","Continuous improvement","Ignoring non-compliance","D","sk01_l2_75"
"sk01","l2","76","In 5S methodology, what action is aligned with the principle of '5S?'?","Write daily reports","Polish all equipment","Identify and remove unnecessary items","Arrange tools by color","C","sk01_l2_76"
"sk01","l2","77","Which tag is commonly used in the 'Sort' process?","Green tag","Yellow tag","Red tag","Blue tag","C","sk01_l2_77"
"sk01","l2","78","What is a key practice in the 'Sort?' stage of 5S?","Label and store","Keep them just in case","Paint them","Dispose or repair","D","sk01_l2_78"
"sk01","l2","79","Which of the following is NOT encouraged in Sort?","Removing outdated tools","Reviewing workspace regularly","Storing unnecessary items","Tagging unused items","C","sk01_l2_79"
"sk01","l2","80","In 5S methodology, what action is aligned with the principle of 'workplace?'?","By creating a clutter-free space","By training workers","By increasing items","By painting walls","A","sk01_l2_80"
"sk01","l2","81","What is a key practice in the 'Order'?' stage of 5S?","Organize tools","Clean floors","Print documents","Remove trash","A","sk01_l2_81"
"sk01","l2","82","Frequently used items should be:","Stored far away","Kept in drawers","Labeled","Within easy reach","D","sk01_l2_82"
"sk01","l2","83","Which of these is a good organizing method?","Hiding tools","Putting items under the table","Storing all items in one box","Color coding","D","sk01_l2_83"
"sk01","l2","84","What is a key practice in the 'placed:' stage of 5S?","Near the door","Randomly","On top shelves","At lower levels","D","sk01_l2_84"
"sk01","l2","85","What is NOT part of Set in Order?","Visual markers","Random storage","Logical arrangement","Tool labeling","B","sk01_l2_85"
"sk01","l2","86","What does 'Shine' in 5S focus on?","Buying new tools","Regular cleaning","Color coding","Replacing furniture","B","sk01_l2_86"
"sk01","l2","87","What is a key practice in the 'identifying:' stage of 5S?","Leaks or damage","Useful items","Paint issues","New items","A","sk01_l2_87"
"sk01","l2","88","In 5S methodology, what action is aligned with the principle of 'activity?'?","Production scheduling","Daily cleaning","Product packaging","Tool labeling","B","sk01_l2_88"
"sk01","l2","89","Why is Shine important?","Maintains safety and efficiency","Saves electricity","Reduces cleaning staff","Improves tool color","A","sk01_l2_89"
"sk01","l2","90","What is a key practice in the 'performed?' stage of 5S?","After each use","Every 6 months","Never","Occasionally","A","sk01_l2_90"
"sk01","l2","91","What is the purpose of 'Standardize'?","Buy new equipment","Write SOPs","Paint tools","Create uniform practices","D","sk01_l2_91"
"sk01","l2","92","In 5S methodology, what action is aligned with the principle of 'ensures:'?","Overcrowding","Confusion","Efficiency and consistency","Random storage","C","sk01_l2_92"
"sk01","l2","93","What is a key practice in the 'practices?' stage of 5S?","Sticky notes","Visual aids","Chat groups","Rumors","B","sk01_l2_93"
"sk01","l2","94","Standardize includes:","Selling tools","Hiding issues","Training employees","Creating clutter","C","sk01_l2_94"
"sk01","l2","95","What should be done if workflow changes?","Change departments","Update procedures","Ignore it","Fire staff","B","sk01_l2_95"
"sk01","l2","96","What is a key practice in the 'ensures:' stage of 5S?","Long-term discipline","One-time 5S activity","Weekly cleaning","Changing team leaders","A","sk01_l2_96"
"sk01","l2","97","How can companies sustain 5S?","Fire staff","Avoid cleaning","Reward good practices","Ignore rules","C","sk01_l2_97"
"sk01","l2","98","Which of these helps in sustaining 5S?","More paper","New uniforms","Refresher training","Less meetings","C","sk01_l2_98"
"sk01","l2","99","What is a key practice in the 'building:' stage of 5S?","Clutter","Waste","Visuals","Discipline and habits","D","sk01_l2_99"
"sk01","l2","100","In 5S methodology, what action is aligned with the principle of 'activity?'?","Continuous improvement","Taking ownership","Regular training","Ignoring non-compliance","D","sk01_l2_100"
"sk01","l3","1","What is the goal of the 'Sort' phase in 5S?","Polish all equipment","Identify and remove unnecessary items","Write daily reports","Arrange tools by color","B","sk01_l3_1"
"sk01","l3","2","Which tag is commonly used in the 'Sort' process?","Yellow tag","Blue tag","Red tag","Green tag","C","sk01_l3_2"
"sk01","l3","3","What is a key practice in the 'Sort?' stage of 5S?","Dispose or repair","Paint them","Label and store","Keep them just in case","A","sk01_l3_3"
"sk01","l3","4","In 5S methodology, what action is aligned with the principle of 'Sort?'?","Storing unnecessary items","Removing outdated tools","Tagging unused items","Reviewing workspace regularly","A","sk01_l3_4"
"sk01","l3","5","How does Sort improve the workplace?","By training workers","By creating a clutter-free space","By painting walls","By increasing items","B","sk01_l3_5"
"sk01","l3","6","What is a key practice in the 'Order'?' stage of 5S?","Print documents","Organize tools","Clean floors","Remove trash","B","sk01_l3_6"
"sk01","l3","7","Frequently used items should be:","Kept in drawers","Within easy reach","Stored far away","Labeled","B","sk01_l3_7"
"sk01","l3","8","In 5S methodology, what action is aligned with the principle of 'method?'?","Hiding tools","Putting items under the table","Storing all items in one box","Color coding","D","sk01_l3_8"
"sk01","l3","9","What is a key practice in the 'placed:' stage of 5S?","Randomly","On top shelves","Near the door","At lower levels","D","sk01_l3_9"
"sk01","l3","10","What is NOT part of Set in Order?","Tool labeling","Logical arrangement","Visual markers","Random storage","D","sk01_l3_10"
"sk01","l3","11","What does 'Shine' in 5S focus on?","Buying new tools","Replacing furniture","Regular cleaning","Color coding","C","sk01_l3_11"
"sk01","l3","12","What is a key practice in the 'identifying:' stage of 5S?","Paint issues","Leaks or damage","New items","Useful items","B","sk01_l3_12"
"sk01","l3","13","Which of the following is a Shine activity?","Daily cleaning","Product packaging","Production scheduling","Tool labeling","A","sk01_l3_13"
"sk01","l3","14","Why is Shine important?","Improves tool color","Maintains safety and efficiency","Saves electricity","Reduces cleaning staff","B","sk01_l3_14"
"sk01","l3","15","What is a key practice in the 'performed?' stage of 5S?","Never","Occasionally","Every 6 months","After each use","D","sk01_l3_15"
"sk01","l3","16","In 5S methodology, what action is aligned with the principle of ''Standardize'?'?","Write SOPs","Create uniform practices","Buy new equipment","Paint tools","B","sk01_l3_16"
"sk01","l3","17","Standardization ensures:","Random storage","Efficiency and consistency","Overcrowding","Confusion","B","sk01_l3_17"
"sk01","l3","18","What is a key practice in the 'practices?' stage of 5S?","Visual aids","Chat groups","Rumors","Sticky notes","A","sk01_l3_18"
"sk01","l3","19","Standardize includes:","Creating clutter","Hiding issues","Selling tools","Training employees","D","sk01_l3_19"
"sk01","l3","20","In 5S methodology, what action is aligned with the principle of 'changes?'?","Ignore it","Update procedures","Fire staff","Change departments","B","sk01_l3_20"
"sk01","l3","21","What is a key practice in the 'ensures:' stage of 5S?","Changing team leaders","Long-term discipline","One-time 5S activity","Weekly cleaning","B","sk01_l3_21"
"sk01","l3","22","How can companies sustain 5S?","Avoid cleaning","Fire staff","Reward good practices","Ignore rules","C","sk01_l3_22"
"sk01","l3","23","Which of these helps in sustaining 5S?","Refresher training","More paper","New uniforms","Less meetings","A","sk01_l3_23"
"sk01","l3","24","What is a key practice in the 'building:' stage of 5S?","Visuals","Clutter","Discipline and habits","Waste","C","sk01_l3_24"
"sk01","l3","25","What is NOT a Sustain activity?","Ignoring non-compliance","Taking ownership","Continuous improvement","Regular training","A","sk01_l3_25"
"sk01","l3","26","What is the goal of the 'Sort' phase in 5S?","Identify and remove unnecessary items","Polish all equipment","Arrange tools by color","Write daily reports","A","sk01_l3_26"
"sk01","l3","27","What is a key practice in the 'process?' stage of 5S?","Red tag","Yellow tag","Green tag","Blue tag","A","sk01_l3_27"
"sk01","l3","28","In 5S methodology, what action is aligned with the principle of 'Sort?'?","Dispose or repair","Label and store","Keep them just in case","Paint them","A","sk01_l3_28"
"sk01","l3","29","Which of the following is NOT encouraged in Sort?","Removing outdated tools","Reviewing workspace regularly","Tagging unused items","Storing unnecessary items","D","sk01_l3_29"
"sk01","l3","30","What is a key practice in the 'workplace?' stage of 5S?","By training workers","By creating a clutter-free space","By painting walls","By increasing items","B","sk01_l3_30"
"sk01","l3","31","What is the main aim of 'Set in Order'?","Print documents","Remove trash","Clean floors","Organize tools","D","sk01_l3_31"
"sk01","l3","32","In 5S methodology, what action is aligned with the principle of 'be:'?","Kept in drawers","Stored far away","Within easy reach","Labeled","C","sk01_l3_32"
"sk01","l3","33","What is a key practice in the 'method?' stage of 5S?","Storing all items in one box","Putting items under the table","Hiding tools","Color coding","D","sk01_l3_33"
"sk01","l3","34","Heavy items should be placed:","Randomly","On top shelves","At lower levels","Near the door","C","sk01_l3_34"
"sk01","l3","35","What is NOT part of Set in Order?","Random storage","Visual markers","Logical arrangement","Tool labeling","A","sk01_l3_35"
"sk01","l3","36","What is a key practice in the 'on?' stage of 5S?","Regular cleaning","Buying new tools","Replacing furniture","Color coding","A","sk01_l3_36"
"sk01","l3","37","Cleaning tools helps in identifying:","Useful items","New items","Paint issues","Leaks or damage","D","sk01_l3_37"
"sk01","l3","38","Which of the following is a Shine activity?","Production scheduling","Product packaging","Tool labeling","Daily cleaning","D","sk01_l3_38"
"sk01","l3","39","What is a key practice in the 'important?' stage of 5S?","Maintains safety and efficiency","Saves electricity","Improves tool color","Reduces cleaning staff","A","sk01_l3_39"
"sk01","l3","40","In 5S methodology, what action is aligned with the principle of 'performed?'?","Never","Every 6 months","Occasionally","After each use","D","sk01_l3_40"
"sk01","l3","41","What is the purpose of 'Standardize'?","Write SOPs","Paint tools","Create uniform practices","Buy new equipment","C","sk01_l3_41"
"sk01","l3","42","What is a key practice in the 'ensures:' stage of 5S?","Confusion","Random storage","Overcrowding","Efficiency and consistency","D","sk01_l3_42"
"sk01","l3","43","What helps reinforce standard practices?","Visual aids","Chat groups","Rumors","Sticky notes","A","sk01_l3_43"
"sk01","l3","44","In 5S methodology, what action is aligned with the principle of 'includes:'?","Hiding issues","Training employees","Selling tools","Creating clutter","B","sk01_l3_44"
"sk01","l3","45","What is a key practice in the 'changes?' stage of 5S?","Fire staff","Update procedures","Ignore it","Change departments","B","sk01_l3_45"
"sk01","l3","46","Sustain' ensures:","Changing team leaders","One-time 5S activity","Long-term discipline","Weekly cleaning","C","sk01_l3_46"
"sk01","l3","47","How can companies sustain 5S?","Fire staff","Avoid cleaning","Reward good practices","Ignore rules","C","sk01_l3_47"
"sk01","l3","48","What is a key practice in the '5S?' stage of 5S?","New uniforms","Refresher training","Less meetings","More paper","B","sk01_l3_48"
"sk01","l3","49","Sustain focuses on building:","Waste","Visuals","Clutter","Discipline and habits","D","sk01_l3_49"
"sk01","l3","50","What is NOT a Sustain activity?","Continuous improvement","Taking ownership","Regular training","Ignoring non-compliance","D","sk01_l3_50"
"sk01","l3","51","What is a key practice in the '5S?' stage of 5S?","Polish all equipment","Write daily reports","Identify and remove unnecessary items","Arrange tools by color","C","sk01_l3_51"
"sk01","l3","52","In 5S methodology, what action is aligned with the principle of 'process?'?","Yellow tag","Blue tag","Red tag","Green tag","C","sk01_l3_52"
"sk01","l3","53","What should be done with broken tools during Sort?","Label and store","Dispose or repair","Paint them","Keep them just in case","B","sk01_l3_53"
"sk01","l3","54","What is a key practice in the 'Sort?' stage of 5S?","Storing unnecessary items","Tagging unused items","Reviewing workspace regularly","Removing outdated tools","A","sk01_l3_54"
"sk01","l3","55","How does Sort improve the workplace?","By creating a clutter-free space","By increasing items","By training workers","By painting walls","A","sk01_l3_55"
"sk01","l3","56","In 5S methodology, what action is aligned with the principle of 'Order'?'?","Remove trash","Organize tools","Clean floors","Print documents","B","sk01_l3_56"
"sk01","l3","57","What is a key practice in the 'be:' stage of 5S?","Kept in drawers","Labeled","Stored far away","Within easy reach","D","sk01_l3_57"
"sk01","l3","58","Which of these is a good organizing method?","Hiding tools","Storing all items in one box","Putting items under the table","Color coding","D","sk01_l3_58"
"sk01","l3","59","Heavy items should be placed:","On top shelves","Randomly","Near the door","At lower levels","D","sk01_l3_59"
"sk01","l3","60","What is a key practice in the 'Order?' stage of 5S?","Tool labeling","Visual markers","Random storage","Logical arrangement","C","sk01_l3_60"
"sk01","l3","61","What does 'Shine' in 5S focus on?","Replacing furniture","Regular cleaning","Buying new tools","Color coding","B","sk01_l3_61"
"sk01","l3","62","Cleaning tools helps in identifying:","New items","Leaks or damage","Paint issues","Useful items","B","sk01_l3_62"
"sk01","l3","63","What is a key practice in the 'activity?' stage of 5S?","Tool labeling","Product packaging","Daily cleaning","Production scheduling","C","sk01_l3_63"
"sk01","l3","64","In 5S methodology, what action is aligned with the principle of 'important?'?","Improves tool color","Saves electricity","Maintains safety and efficiency","Reduces cleaning staff","C","sk01_l3_64"
"sk01","l3","65","When should cleaning be performed?","Never","Every 6 months","Occasionally","After each use","D","sk01_l3_65"
"sk01","l3","66","What is a key practice in the ''Standardize'?' stage of 5S?","Create uniform practices","Paint tools","Buy new equipment","Write SOPs","A","sk01_l3_66"
"sk01","l3","67","Standardization ensures:","Confusion","Overcrowding","Random storage","Efficiency and consistency","D","sk01_l3_67"
"sk01","l3","68","In 5S methodology, what action is aligned with the principle of 'practices?'?","Rumors","Visual aids","Sticky notes","Chat groups","B","sk01_l3_68"
"sk01","l3","69","What is a key practice in the 'includes:' stage of 5S?","Selling tools","Hiding issues","Creating clutter","Training employees","D","sk01_l3_69"
"sk01","l3","70","What should be done if workflow changes?","Ignore it","Change departments","Update procedures","Fire staff","C","sk01_l3_70"
"sk01","l3","71","Sustain' ensures:","Weekly cleaning","Changing team leaders","One-time 5S activity","Long-term discipline","D","sk01_l3_71"
"sk01","l3","72","What is a key practice in the '5S?' stage of 5S?","Avoid cleaning","Reward good practices","Ignore rules","Fire staff","B","sk01_l3_72"
"sk01","l3","73","Which of these helps in sustaining 5S?","New uniforms","More paper","Less meetings","Refresher training","D","sk01_l3_73"
"sk01","l3","74","Sustain focuses on building:","Discipline and habits","Clutter","Waste","Visuals","A","sk01_l3_74"
"sk01","l3","75","What is a key practice in the 'activity?' stage of 5S?","Regular training","Taking ownership","Continuous improvement","Ignoring non-compliance","D","sk01_l3_75"
"sk01","l3","76","In 5S methodology, what action is aligned with the principle of '5S?'?","Write daily reports","Polish all equipment","Identify and remove unnecessary items","Arrange tools by color","C","sk01_l3_76"
"sk01","l3","77","Which tag is commonly used in the 'Sort' process?","Green tag","Yellow tag","Red tag","Blue tag","C","sk01_l3_77"
"sk01","l3","78","What is a key practice in the 'Sort?' stage of 5S?","Label and store","Keep them just in case","Paint them","Dispose or repair","D","sk01_l3_78"
"sk01","l3","79","Which of the following is NOT encouraged in Sort?","Removing outdated tools","Reviewing workspace regularly","Storing unnecessary items","Tagging unused items","C","sk01_l3_79"
"sk01","l3","80","In 5S methodology, what action is aligned with the principle of 'workplace?'?","By creating a clutter-free space","By training workers","By increasing items","By painting walls","A","sk01_l3_80"
"sk01","l3","81","What is a key practice in the 'Order'?' stage of 5S?","Organize tools","Clean floors","Print documents","Remove trash","A","sk01_l3_81"
"sk01","l3","82","Frequently used items should be:","Stored far away","Kept in drawers","Labeled","Within easy reach","D","sk01_l3_82"
"sk01","l3","83","Which of these is a good organizing method?","Hiding tools","Putting items under the table","Storing all items in one box","Color coding","D","sk01_l3_83"
"sk01","l3","84","What is a key practice in the 'placed:' stage of 5S?","Near the door","Randomly","On top shelves","At lower levels","D","sk01_l3_84"
"sk01","l3","85","What is NOT part of Set in Order?","Visual markers","Random storage","Logical arrangement","Tool labeling","B","sk01_l3_85"
"sk01","l3","86","What does 'Shine' in 5S focus on?","Buying new tools","Regular cleaning","Color coding","Replacing furniture","B","sk01_l3_86"
"sk01","l3","87","What is a key practice in the 'identifying:' stage of 5S?","Leaks or damage","Useful items","Paint issues","New items","A","sk01_l3_87"
"sk01","l3","88","In 5S methodology, what action is aligned with the principle of 'activity?'?","Production scheduling","Daily cleaning","Product packaging","Tool labeling","B","sk01_l3_88"
"sk01","l3","89","Why is Shine important?","Maintains safety and efficiency","Saves electricity","Reduces cleaning staff","Improves tool color","A","sk01_l3_89"
"sk01","l3","90","What is a key practice in the 'performed?' stage of 5S?","After each use","Every 6 months","Never","Occasionally","A","sk01_l3_90"
"sk01","l3","91","What is the purpose of 'Standardize'?","Buy new equipment","Write SOPs","Paint tools","Create uniform practices","D","sk01_l3_91"
"sk01","l3","92","In 5S methodology, what action is aligned with the principle of 'ensures:'?","Overcrowding","Confusion","Efficiency and consistency","Random storage","C","sk01_l3_92"
"sk01","l3","93","What is a key practice in the 'practices?' stage of 5S?","Sticky notes","Visual aids","Chat groups","Rumors","B","sk01_l3_93"
"sk01","l3","94","Standardize includes:","Selling tools","Hiding issues","Training employees","Creating clutter","C","sk01_l3_94"
"sk01","l3","95","What should be done if workflow changes?","Change departments","Update procedures","Ignore it","Fire staff","B","sk01_l3_95"
"sk01","l3","96","What is a key practice in the 'ensures:' stage of 5S?","Long-term discipline","One-time 5S activity","Weekly cleaning","Changing team leaders","A","sk01_l3_96"
"sk01","l3","97","How can companies sustain 5S?","Fire staff","Avoid cleaning","Reward good practices","Ignore rules","C","sk01_l3_97"
"sk01","l3","98","Which of these helps in sustaining 5S?","More paper","New uniforms","Refresher training","Less meetings","C","sk01_l3_98"
"sk01","l3","99","What is a key practice in the 'building:' stage of 5S?","Clutter","Waste","Visuals","Discipline and habits","D","sk01_l3_99"
"sk01","l3","100","In 5S methodology, what action is aligned with the principle of 'activity?'?","Continuous improvement","Taking ownership","Regular training","Ignoring non-compliance","D","sk01_l3_100"
"sk01","l4","1","5S training is theoretical and delivered only via presentations. What outcome is likely?","Quick adoption","Low engagement and shallow retention","Maximum compliance","Budget savings","D","sk01_l4_1"
"sk01","l4","2","Items are consistently color-coded, but no legend or key is posted nearby. What is this a failure of?","Color aesthetics","Visual communication effectiveness","Policy alignment","Organizational identity","C","sk01_l4_2"
"sk01","l4","3","A factory uses floor markings but repaints them only when completely faded. What risk does this pose?","Unnecessary repaint costs","Misinterpretation during transitions","Audit bonus deduction","Surface wear","C","sk01_l4_3"
